THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
TIËSTO & KSHMR                                               |SECRETS (FEAT. VASSY) (RADIO EDIT)
DEORRO X CHRIS BROWN                                         |FIVE MORE HOURS
MAJOR LAZER                                                  |KNOW NO BETTER (FEAT. TRAVIS SCOTT, CAMILA CABELLO & QUAVO)
ALESSO                                                       |TAKE MY BREATH AWAY
KYGO                                                         |FIRESTONE (FEAT. CONRAD SEWELL)
MAJOR LAZER                                                  |LIGHT IT UP (FEAT. NYLA & FUSE ODG) (REMIX)
MARTIN GARRIX & DUA LIPA                                     |SCARED TO BE LONELY (BROOKS REMIX)
DVBBS                                                        |GOMF (FEAT. BRIDGE)
TIËSTO                                                       |CARRY YOU HOME (FEAT. STARGATE & ALOE BLACC)
DYNORO & GIGI D'AGOSTINO                                     |IN MY MIND
CALVIN HARRIS                                                |SLIDE (FEAT. FRANK OCEAN & MIGOS)
DJ SNAKE                                                     |LET ME LOVE YOU (FEAT. JUSTIN BIEBER) (TIESTO'S AFTR:HRS MIX)
TAYLOR SWIFT                                                 |LOOK WHAT YOU MADE ME DO
SIA                                                          |MOVE YOUR BODY (ALAN WALKER REMIX)
MARSHMELLO                                                   |SILENCE (FEAT. KHALID)
SKRILLEX & DIPLO                                             |MIND (FEAT. KAI)
COLDPLAY                                                     |HYMN FOR THE WEEKEND (SEEB REMIX)
ALESSO                                                       |FALLING
ANNE-MARIE                                                   |ALARM
SEVEN LIONS                                                  |FALLING AWAY (FEAT. LIGHTS)
OF MONSTERS AND MEN                                          |LOVE LOVE LOVE
FLEET FOXES                                                  |WHITE WINTER HYMNAL
GROUPLOVE                                                    |COLOURS
IMAGINE DRAGONS                                              |AMSTERDAM
MUMFORD & SONS                                               |AFTER THE STORM
IMAGINE DRAGONS                                              |ROUND AND ROUND
THE SCRIPT                                                   |HALL OF FAME
PHAELEH                                                      |AFTERGLOW
FLUX PAVILION                                                |DO OR DIE (FLOSSTRADAMUS REMIX)
FLUX PAVILION                                                |THE SCIENTIST
GEMMY                                                        |SUPLIGEN
NERO                                                         |ACT LIKE YOU KNOW (DUBSTEP MIX)
FLUX PAVILION                                                |LINES IN WAX
THE QEMISTS                                                  |RENEGADE (THE QEMISTS VIP)
FLUX PAVILION                                                |DO OR DIE
FLUX PAVILION                                                |DAYDREAMER (EXTENDED VERSION)
FLUX PAVILION                                                |HAUNT YOU
SKRILLEX                                                     |KILL EVERYBODY (BARE NOIZE REMIX)
BINGO PLAYERS                                                |GET UP (RATTLE) (FEAT. FAR EAST MOVEMENT) (LUMINOX VOCAL MIX)
FLUX PAVILION                                                |ONE TWO THREE (MAKE YOUR BODY WANNA)
DAFT PUNK                                                    |LOSE YOURSELF TO DANCE
SHOWTEK & JUSTIN PRIME                                       |CANNONBALL
STROMAE                                                      |ALORS ON DANSE
ALOE BLACC                                                   |THE MAN
STEVE AOKI                                                   |LADI DADI
DJ GODFATHER                                                 |TWERK WIT IT
STEVE AOKI, CHRIS LAKE & TUJAMO                              |BONELESS
DAFT PUNK                                                    |THE SON OF FLYNN
HUMAN RESOURCE                                               |DOMINATOR (HERVE REMIX)
SHOWTEK                                                      |SLOW DOWN
AFROJACK & STEVE AOKI                                        |NO BEEF (INSTRUMENTAL MIX)
AFROJACK & SHERMANOLOGY                                      |CAN'T STOP ME (CLUB MIX)
DEORRO & ZOOFUNKTION                                         |HYPE
EMPIRE OF THE SUN                                            |WE ARE THE PEOPLE (SHAZAM REMIX)
CHUCKIE & JUNXTERJACK                                        |MAKE SOME NOISE (DEORRO REMIX)
CARL TRICKS                                                  |MAD DASH (BINGO PLAYERS EDIT)
STEVE AOKI                                                   |EARTHQUAKEY PEOPLE (ALVIN RISK REMIX)
DAFT PUNK                                                    |GET LUCKY (ALBUM VERSION)
AFROJACK & STEVE AOKI                                        |NO BEEF (VOCAL MIX)
ATMOSPHERE                                                   |GUARANTEES
FIREBEATZ                                                    |GANGSTER
CASELY                                                       |SWEAT (FEAT. LIL JON & MACHEL MONTANO)
STEVE AOKI                                                   |COME WITH ME (DEADMEAT)
